PrimaryKey,Filename,Quality,Piece,Composer,Performer,Instrument,License,Link,Chunks
59,Symphony No.1 in C major Op.21 - III. Minuetto and trio.flac,Mid,Symphony No.1 in C major Op.21 - III. Minuetto and trio,Beethoven L.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/2563-symphony-no-1-in-c-major-op-21/,101
60,Symphony No.1 in C major Op.21 - IV. Adagio Allegro molto e vivace.flac,Mid,Symphony No.1 in C major Op.21 - IV. Adagio Allegro molto e vivace,Beethoven L.,European Archive,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/2563-symphony-no-1-in-c-major-op-21/,213
61,"Enigma variations, Op. 36 - Variation XIV (Finale. Allegro Presto) E.D.U..mp3",High,"Enigma variations, Op. 36 - Variation XIV (Finale. Allegro Presto) E.D.U.",Elgar E.,Skidmore College Orchestra,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/5279-enigma-variations-op-36/,102
62,"Enigma variations, Op. 36 - Variation XI (Allegro di molto) G.R.S..mp3",High,"Enigma variations, Op. 36 - Variation XI (Allegro di molto) G.R.S.",Elgar E.,Skidmore College Orchestra,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/5279-enigma-variations-op-36/,40
63,"Enigma variations, Op. 36 - Variation IX (Adagio) Nimrod.mp3",High,"Enigma variations, Op. 36 - Variation IX (Adagio) Nimrod",Elgar E.,Skidmore College Orchestra,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/5279-enigma-variations-op-36/,53
64,"Enigma variations, Op. 36 - Variation VIII (Allegretto) W.N..mp3",High,"Enigma variations, Op. 36 - Variation VIII (Allegretto) W.N.",Elgar E.,Skidmore College Orchestra,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/5279-enigma-variations-op-36/,29
65,"Enigma variations, Op. 36 - Variation VII (Presto) Troyte.mp3",High,"Enigma variations, Op. 36 - Variation VII (Presto) Troyte",Elgar E.,Skidmore College Orchestra,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/5279-enigma-variations-op-36/,18
66,"Enigma variations, Op. 36 - Variation V (Moderato) R.P.A..mp3",High,"Enigma variations, Op. 36 - Variation V (Moderato) R.P.A.",Elgar E.,Skidmore College Orchestra,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/5279-enigma-variations-op-36/,33
67,"Enigma variations, Op. 36 - Variation IV (Allegro di molto) W.M.B..mp3",High,"Enigma variations, Op. 36 - Variation IV (Allegro di molto) W.M.B.",Elgar E.,Skidmore College Orchestra,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/5279-enigma-variations-op-36/,11
68,"Enigma variations, Op. 36 - Variation III (Allegretto) R.B.T..mp3",High,"Enigma variations, Op. 36 - Variation III (Allegretto) R.B.T.",Elgar E.,Skidmore College Orchestra,Orchestra,https://creativecommons.org/publicdomain/mark/1.0/,https://musopen.org/music/5279-enigma-variations-op-36/,23
